,Precinct Name,Borough,Address,Telephone,URL,Commanding Officer,Description,Precinct Number,Scraped on
10,19th Precinct,Manhattan,153 East 67th Street,212-452-0600,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/19th-precinct.page,Deputy Inspector Neil W. Zuber,"The 19th Precinct command serves the Upper East Side of Manhattan. The precinct is one of the most densely populated residential areas in Manhattan. The southern part of the precinct has a large commercial area and features Madison, Lexington, and 3rd Avenues, which are well known for their shopping.",19,2024-05-11
11,20th Precinct,Manhattan,120 West 82nd Street,212-580-6411,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/20th-precinct.page,Deputy Inspector Candida Pun-Sullivan,"The 20th Precinct serves the Upper West Side of Manhattan. The precinct contains the Lincoln Center for the Performing Arts, the American Museum of Natural History, the New York Historical Society, the Beacon Theater, and the Jewish Community Center of Manhattan.",20,2024-05-11
12,Central Park Precinct,Manhattan,86th St & Transverse Road,212-570-4820,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/central-park-precinct.page,Captain Anthony M. Lavino,"The Central Park Precinct patrols the park’s expansive 843 acres. Central Park is home to seven naturalistic water bodies, 58 miles of pedestrian paths, six miles of roads, almost five miles of bridle path, and approximately 20,000 trees. The park also offers 30 tennis courts, 26 ball fields, 21 playgrounds, two ice skating rinks, and a swimming pool.",22,2024-05-11
13,23rd Precinct,Manhattan,164 East 102nd Street,212-860-6411,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/23rd-precinct.page,Deputy Inspector Scott Callahan,"The 23rd Precinct serves East Harlem, or El Barrio, north of East 96th Street. The Precinct is primarily a residential area, with some small commercial districts.",23,2024-05-11
14,24th Precinct,Manhattan,151 West 100th Street,212-678-1811,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/24th-precinct.page,Captain Noreen E. Lazarus,The 24th Precinct is located on the Upper West Side of Manhattan and encompasses Manhattan Valley and a portion of Riverside Park. It is a residential and commercial community of multiple dwelling homes and one major housing development.,24,2024-05-11
15,25th Precinct,Manhattan,120 East 119th Street,212-860-6511,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/25th-precinct.page,Deputy Inspector Raul P. Maisonet,"The 25th Precinct encompasses the northern portion of East Harlem. The precinct is home to large residential community as well as Marcus Garvey Park, Harlem Art Park, and the 125th Street Metro-North Station.",25,2024-05-11
16,26th Precinct,Manhattan,520 West 126th Street,212-678-1311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/26th-precinct.page,Captain Jose Taveras,"The 26th Precinct services a portion of the Upper West Side of the Manhattan. The area covered encompasses Morningside Heights and Manhattanville, and is home to Columbia University, Riverside Park, Morningside Park, and General Grant National Memorial.",26,2024-05-11
17,28th Precinct,Manhattan,2271-89 8th Avenue,212-678-1611,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/28th-precinct.page,Captain Albert F. Rodriguez,"The 28th Precinct serves the central portion of Harlem. The precinct is home to the historic Apollo Theater, the Adam Clayton Powell Harlem State Office Building, and the Studio Museum in Harlem.",28,2024-05-11
18,30th Precinct,Manhattan,451 West 151st Street,212-690-8811,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/30th-precinct.page,Captain Jessica Rivera,"The 30th Precinct serves the western portion of Harlem. The neighborhoods covered by the precinct are Hamilton Heights, Sugar Hill, and West Harlem. The precinct contains Riverside Park and Jackie Robinson Park.",30,2024-05-11
19,32nd Precinct,Manhattan,250 West 135th Street,212-690-6311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/32nd-precinct.page,Deputy Inspector Bryan D. Natale,The 32nd Precinct serves the northeastern portion of Harlem. There are six public housing complexes and 11 private housing developments. The business district is located on Lenox Ave. between West 132nd and 139th Streets.,32,2024-05-11
20,33rd Precinct,Manhattan,2207 Amsterdam Avenue,212-927-3200,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/33rd-precinct.page,Captain Christian R. Hernandez,"The 33rd Precinct serves the Washington Heights section of northern Manhattan. The three primary commercial strips are Broadway, Amsterdam and St. Nicholas Avenues.",33,2024-05-11
21,34th Precinct,Manhattan,4295 Broadway,212-927-9711,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/34th-precinct.page,Inspector Aneudy Castillo,"The 34th Precinct serves the communities of Washington Heights and Inwood, north of West 179th Street. The precinct covers two square miles, with 500 acres of parkland, including Inwood Hill Park and Fort Tyron Park.",34,2024-05-11
22,40th Precinct,Bronx,257 Alexander Avenue,718-402-2270,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/40th-precinct.page,Deputy Inspector Joseph G. Tompkins,"The 40th Precinct is the southernmost precinct in the borough of the Bronx. The precinct serves Port Morris, Mott Haven, and Melrose.",40,2024-05-11
23,41st Precinct,Bronx,1035 Longwood Avenue,718-542-4771,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/41st-precinct.page,Captain Muhammad J. Ashraf,The 41st Precinct serves Hunts Point and Longwood. The precinct’s main shopping area is located on Southern Blvd. from Westchester Avenue to E. 163rd Street.,41,2024-05-11
24,42nd Precinct,Bronx,830 Washington Avenue,718-402-3887,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/42nd-precinct.page,Deputy Inspector Isaac Soberal,"New York City's 42nd Precinct serves an area of 1.09 square miles, and is known as the Morrisania section of the Bronx. The precinct contains Claremont, Crotona Park East, and Crotona Park.",42,2024-05-11
25,43rd Precinct,Bronx,900 Fteley Avenue,718-542-0888,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/43rd-precinct.page,Deputy Inspector Yerlin Moya,"The 43rd Precinct serves the southeast section of the Bronx. There are four primary commercial strips in the precinct: Westchester Avenue, Castle Hill Avenue, White Plains Road, and Parkchester.",43,2024-05-11
26,44th Precinct,Bronx,2 East 169th Street,718-590-5511,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/44th-precinct.page,Deputy Inspector Anthony J. Mascia,"The 44th Precinct serves 1.97 square miles of the southwest portion of the Bronx: The precinct is home to the Grand Concourse, Bronx Terminal Market, and Yankee Stadium.",44,2024-05-11
27,45th Precinct,Bronx,2877 Barkley Avenue,718-822-5411,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/45th-precinct.page,Deputy Inspector Johnny A. Orellana,"The 45th Precinct serves a portion of the northeastern section of the Bronx. The precinct area contains six miles of park area, and 10.6 miles of waterfront. The precinct encompasses Co-op City and City Island.",45,2024-05-11
28,46th Precinct,Bronx,2120 Ryer Avenue,718-220-5211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/46th-precinct.page,Inspector Jeremy Scheublin,"The 46th Precinct serves the central part of the western Bronx. The precinct contains the Fordham, University Heights, Morris Heights and Mount Hope neighborhoods.",46,2024-05-11
29,47th Precinct,Bronx,4111 Laconia Avenue,718-920-1211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/47th-precinct.page,Deputy Inspector Jonathan P. Korabel,"The 47th Precinct serves northern portion of the Bronx. Woodlawn, Wakefield, Williamsbridge, Baychester, Edenwald, Olinville, Fishbay, and Woodlawn Cemetary all call the precinct home.",47,2024-05-11
30,48th Precinct,Bronx,450 Cross Bronx Expressway,718-299-3900,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/48th-precinct.page,Deputy Inspector Joseph A. Deleo,"The 48th Precinct sits in the heart of the Bronx, encompassing Belmont, East Tremont, and West Farms. Fordham University's Bronx campus is nestled in the precinct’s northern corner, the famous Arthur Avenue runs down the center, and the Cross Bronx Expressway and Crotona Park form the southern border.",48,2024-05-11
31,49th Precinct,Bronx,2121 Eastchester Road,718-918-2000,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/49th-precinct.page,Deputy Inspector Gareth D. Kentish,"The 49th Precinct serves a northeastern portion of the Bronx including Allerton, Morris Park, Van Nest, Pelham Parkway, Eastchester Gardens, and Pelham Gardens.",49,2024-05-11
32,50th Precinct,Bronx,3450 Kingsbridge Avenue,718-543-5700,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/50th-precinct.page,Captain Ryan J. Pierce,"The 50th Precinct serves a northwestern region in the Bronx. The precinct is home to Riverdale, Fieldston, Kingsbridge, Marble Hill, and Spuyten Duyvil. Its many areas of interest include Wave Hill, a historic mansion and garden overlooking the Hudson River, and Van Cortlandt Park, one of the largest parks in New York City.",50,2024-05-11
33,52nd Precinct,Bronx,3016 Webster Avenue,718-220-5811,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/52nd-precinct.page,Captain Chase A. Maneri,"The 52nd Precinct serves a northern portion of the Bronx. The precinct is home to Bedford Park, Fordham, Kingsbridge, Norwood, Bronx Park, and University Heights.",52,2024-05-11
34,60th Precinct,Brooklyn,2951 West 8th Street,718-946-3311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/60th-precinct.page,Deputy Inspector Andrey Smirnov,"The 60th Precinct serves the southernmost point of Brooklyn. The precinct covers 3.4 square miles of Brooklyn, and includes Coney Island, Brighton Beach, West Brighton Beach, and Sea Gate.",60,2024-05-11
35,61st Precinct,Brooklyn,2575 Coney Island Avenue,718-627-6611,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/61st-precinct.page,Captain Joseph J. Antonio,"The 61st Precinct serves a southern portion of Brooklyn and encompasses Kings Bay, Gravesend, Sheepshead Bay, and Manhattan Beach.",61,2024-05-11
36,62nd Precinct,Brooklyn,1925 Bath Avenue,718-236-2611,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/62nd-precinct.page,Deputy Inspector Eddie Lau,"The 62 Precinct serves a southwestern portion of Brooklyn. The precinct is home to Bensonhurst, Mapleton, and Bath Beach.",62,2024-05-11
37,63rd Precinct,Brooklyn,1844 Brooklyn Avenue,718-258-4411,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/63rd-precinct.page,Captain Ronald Perez,"The 63rd Precinct serves approximately 8.96 square miles and features 1.5 square miles of park. In addition, this command also includes undeveloped marshlands of the Marine Park area. The precinct borders a national park, the Gateway National Recreation Area.",63,2024-05-11
38,66th Precinct,Brooklyn,5822 16th Avenue,718-851-5611,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/66th-precinct.page,Captain Kenneth Herrarte,"The 66th Precinct serves the Borough Park section of Brooklyn, including Midwood and Kensington. It features over 300 religious institutions, comprised mostly of Hassidic and Orthodox Synagogues and Yeshivas.",66,2024-05-11
39,67th Precinct,Brooklyn,2820 Snyder Avenue,718-287-3211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/67th-precinct.page,Deputy Inspector Rachael Kosak,"The 67th Precinct serves a region in the center of Brooklyn, comprising East Flatbush and Remsen Village.",67,2024-05-11
40,68th Precinct,Brooklyn,333 65th Street,718-439-4211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/68th-precinct.page,Captain Kristen A Schafer,"The 68th Precinct serves a southwestern portion of Brooklyn, and includes Bay Ridge and Dyker Heights.",68,2024-05-11
41,69th Precinct,Brooklyn,9720 Foster Avenue,718-257-6211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/69th-precinct.page,Captain Dion Hinds,"The 69th Precinct serves the Canarsie section of Brooklyn. The precinct is mostly residential with commercial strips along Avenue L, Rockaway Parkway, and Remsen Avenue.",69,2024-05-11
42,70th Precinct,Brooklyn,154 Lawrence Avenue,718-851-5511,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/70th-precinct.page,Deputy Inspector Gregory Mackie,"The 70th Precinct is centrally located in the borough of Brooklyn. This precinct is home to Midwood, Fiske Terrace, Ditmas Park, and Prospect Park South.",70,2024-05-11
43,71st Precinct,Brooklyn,421 Empire Boulevard,718-735-0511,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/71st-precinct.page,Deputy Inspector Thomas P. Smith,"The 71st Precinct is located in central Brooklyn, and contains the southern portion of Crown Heights, Wingate, and Prospect Lefferts.",71,2024-05-11
44,72nd Precinct,Brooklyn,830 4th Avenue,718-965-6311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/72nd-precinct.page,Deputy Inspector Krystin N. Suarez,The 72nd Precinct serves a northwestern portion of Brooklyn that includes Sunset Park and Windsor Terrace.,72,2024-05-11
45,73rd Precinct,Brooklyn,1470 East New York Avenue,718-495-5411,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/73rd-precinct.page,Inspector Mark A. Vazquez,The 73rd Precinct serves a northeastern area of Brooklyn containing Brownsville and Ocean Hill.,73,2024-05-11
46,75th Precinct,Brooklyn,1000 Sutter Avenue,718-827-3511,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/75th-precinct.page,Inspector Rohan Griffith,The 75th Precinct serves the easternmost portion of Brooklyn and envelopes East New York and Cypress Hills.,75,2024-05-11
47,76th Precinct,Brooklyn,191 Union Street,718-834-3211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/76th-precinct.page,Captain Taso Karathanasis,"The 76th Precinct serves south Brooklyn, and includes the neighborhoods of Carroll Gardens, Red Hook, Cobble Hill, parts of Gowanus, and the Columbia Street Waterfront District.",76,2024-05-11
48,77th Precinct,Brooklyn,127 Utica Avenue,718-735-0611,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/77th-precinct.page,Deputy Inspector Omar M. Birchwood,The 77th Precinct serves the northern portion of the Crown Heights section of Brooklyn. The precinct is also home to a portion of Prospect Heights.,77,2024-05-11
49,78th Precinct,Brooklyn,65 6th Avenue,718-636-6411,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/78th-precinct.page,Captain Billy J. Morales,"The 78 Precinct serves the Park Slope section of Brooklyn, and contains Prospect Park.",78,2024-05-11
50,79th Precinct,Brooklyn,263 Tompkins Avenue,718-636-6611,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/79th-precinct.page,Deputy Inspector Hipolito M. Gil,The 79th Precinct serves a northern portion of Brooklyn that includes Bedford Stuyvesant and features Herbert Von King Park.,79,2024-05-11
51,81st Precinct,Brooklyn,30 Ralph Avenue,718-574-0411,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/81st-precinct.page,Deputy Inspector Khandakar Abdullah,"The 81st Precinct serves a northern area in Brooklyn, containing Bedford Stuyvesent and Stuyvesant Heights.",81,2024-05-11
52,83rd Precinct,Brooklyn,480 Knickerbocker Avenue,718-574-1605,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/83rd-precinct.page,Captain David Poggioli,The 83rd Precinct serves a northern region in Brooklyn comprising Bushwick.,83,2024-05-11
53,84th Precinct,Brooklyn,301 Gold Street,718-875-6811,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/84th-precinct.page,Captain Thomas Maffei,"The 84th Precinct serves a northwestern section of Brooklyn. The precinct is home to Brooklyn Heights, Boerum Hill, and Vinegar Hill.",84,2024-05-11
54,88th Precinct,Brooklyn,298 Classon Avenue,718-636-6511,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/88th-precinct.page,Captain Michael E. Goodchild,"The 88th Precinct serves a northern portion of Brooklyn containing Clinton Hill, Fort Green Park, and Commodore Barry Park.",88,2024-05-11
55,90th Precinct,Brooklyn,211 Union Avenue,718-963-5311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/90th-precinct.page,Captain Joseph J. Wernersbach,The 90th Precinct serves the northwestern portion of Brooklyn that mainly consists of the neighborhood of Williamsburg.,90,2024-05-11
56,94th Precinct,Brooklyn,100 Meserole Avenue,718-383-3879,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/94th-precinct.page,Captain Jonathan A. Navarrete,"The 94th Precinct serves the northernmost portion of Brooklyn, consisting of, primarily, the neighborhood of Greenpoint.",94,2024-05-11
57,100th Precinct ,Queens,92-24 Rockaway Beach Boulevard,718-318-4200,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/100th-precinct.page,Captain Carol E. Hamilton,"The 100th Precinct serves a southern portion of Queens on the Rockaway Peninsula, and contains Arverne, Belle Harbor, Breezy Point, Broad Channel, Neponsit, Rockaway Park, Rockaway Beach, and Roxbury.",100,2024-05-11
58,101st Precinct,Queens,16-12 Mott Avenue,718-868-3400,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/101st-precinct.page,Captain Timothy P. Schultz,"The 101st Precinct is located at the eastern end of the Rockaway Peninsula in Queens, and houses Far Rockaway and Bayswater.",101,2024-05-11
59,102nd Precinct,Queens,87-34 118th Street,718-805-3200,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/102nd-precinct.page,Deputy Inspector Jeremy R. Kivlin,"The 102nd Precinct serves a portion of central Queens containing Kew Gardens, Richmond Hill East, Richmond Hill, Woodhaven, and the northern part of Ozone Park.",102,2024-05-11
60,103rd Precinct,Queens,168-02 P.O Edward Byrne Ave.,718-657-8181,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/103rd-precinct.page,Deputy Inspector Ralph A. Clement,"The 103rd Precinct serves a western portion of Queens, home to the downtown Jamaica Business District, Hollis Park Gardens, Hollis, Lakewood, and Jamaica.",103,2024-05-11
61,104th Precinct,Queens,64-2 Catalpa Avenue,718-386-3004,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/104th-precinct.page,Captain Karam Chowdhury,"The 104th Precinct serves the western section of Queens, containing Ridgewood, Glendale, Middle Village, and Maspeth.",104,2024-05-11
62,105th Precinct,Queens,92-08 222nd Street,718-776-9090,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/105th-precinct.page,Captain Jean Beauvoir,"The 105th Precinct serves the easternmost portion of Queens. Queens Village, Cambria Heights, Laurelton, Rosedale, Springfield Gardens, Bellerose, Glen Oaks, New Hyde Park, and Floral Park comprise the area covered by the precinct.",105,2024-05-11
63,106th Precinct,Queens,103-53 101st Street,718-845-2211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/106th-precinct.page,Captain Berkley K. Vantull,"The 106th Precinct serves South Central Queens, and includes Ozone Park, South Ozone Park, Lindenwood, Howard Beach, and Old Howard Beach.",106,2024-05-11
64,107th Precinct,Queens,71-01 Parsons Boulevard,718-969-5100,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/107th-precinct.page,Captain Mo C. Tsang,"The 107th Precinct serves a portion of Northern Queens, containing Fresh Meadows, Cunningham Heights, and Hilltop Village.",107,2024-05-11
65,108th Precinct,Queens,5-47 50th Avenue,718-784-5411,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/108th-precinct.page,Captain Tony Wong,"The 108th Precinct serves the southwestern portion of Queens, and includes Long Island City, Sunnyside, and Woodside.",108,2024-05-11
66,109th Precinct,Queens,37-05 Union Street,718-321-2250,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/109th-precinct.page,Inspector Kevin J. Coleman,"The 109th Precinct serves a north east portion of Queens, including Downtown Flushing, East Flushing, Queensboro Hill, College Point, Malba, Whitestone, Beechhurst, and Bay Terrace.",109,2024-05-11
67,110th Precinct,Queens,94-41 43rd Avenue,718-476-9311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/110th-precinct.page,Deputy Inspector John Portalatin,"The 110th Precinct is located in the northern part of Queens. It encompasses the communities of Corona and Elmhurst. The precinct is mainly a residential/commercial community consisting of multiple dwelling homes, and one major apartment complex, Lefrak City. There are three major commercial districts in the command: Roosevelt Avenue, Broadway, and Queens Blvd.",110,2024-05-11
68,111th Precinct,Queens,45-06 215th Street,718-279-5200,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/111th-precinct.page,Captain Richard A. Porto,"The 111th Precinct serves a northeastern portion of Queens containing Bayside, Douglaston, Little Neck, Auburndale, Hollis Hills, and Fresh Meadows.",111,2024-05-11
69,112th Precinct,Queens,68-40 Austin Street,718-520-9311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/112th-precinct.page,Captain David F. Cordano,"The 112th Precinct serves a centrally located portion of Queens, housing Forest Hills and Rego Park.",112,2024-05-11
70,113th Precinct,Queens,167-02 Baisley Boulevard,718-712-7733,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/113th-precinct.page,Inspector Ray A. Jenkins,"The 113th Precinct serves the southeastern area of Jamaica, Queens, along with St. Albans, Hollis, Springfield Gardens, South Ozone Park, South Jamaica, Addisleigh Park, and Locust Manor.",113,2024-05-11
71,114th Precinct,Queens,34-16 Astoria Boulevard,718-626-9311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/114th-precinct.page,Deputy Inspector Kenneth Gorman,"The 114th Precinct is located in the northwestern portion of Queens, and covers Astoria, Long Island City, Woodside, and Jackson Heights.",114,2024-05-11
72,115th Precinct,Queens,92-15 Northern Boulevard,718-533-2002,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/115th-precinct.page,Deputy Inspector Eileen T. Downing,"The 115th Precinct serves a northern portion of Queens, encompassing Jackson Heights, East Elmhurst, and North Corona. The precinct patrol responsibilities also include LaGuardia Airport.",115,2024-05-11
73,120th Precinct,Staten Island,78 Richmond Terrace,718-876-8500,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/120th-precinct.page,Deputy Inspector Stephen Spataro,"The 120th Precinct serves the North Shore of Staten Island. The precinct is home to Castleton Corners, Westerleigh, Meiers Corners, Markham Gardens, Fort Wadsworth, Tompkinsville, Concord, Sunnyside, West Brighton, Livingston, Randall Manor, New Brighton, St. George, Ward Hill, Stapleton, Clifton, Silver Lake, Grymes Hill, Fox Hills, Shore Acres, and Rosebank.",120,2024-05-11
74,121st Precinct,Staten Island,970 Richmond Avenue,718-697-8700,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/121st-precinct.page,Deputy Inspector Eric J. Waldhelm,"The 121st Precinct serves the northwestern shore of Staten Island, containing Willowbrook, Westerleigh, Port Richmond, Mariner's Harbor, Elm Park, Port Ivory, Chelsea, and Bloomfield.",121,2024-05-11
75,122nd Precinct,Staten Island,2320 Hylan Boulevard,718-667-2211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/122nd-precinct.page,Captain Luigi Carrubba,"The 122nd Precinct serves a portion of the South Shore of Staten Island, which encompasses Eltingville, Great Kills, Bay Terrace, Oakwood Heights, Oakwood Beach, Lighthouse Hill, New Dorp, Grant City, Midland Beach, South Beach, Todt Hill, South Beach, Old Town, and Grasmere.",122,2024-05-11
76,123rd Precinct,Staten Island,116 Main Street,718-948-9311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/123rd-precinct.page,Captain Glorisel Lee,"The 123rd Precinct serves a portion of the South Shore of Staten Island, including Tottenville, Huguenot, Rossville, Annadale, and Eltingville.",123,2024-05-11
